author	epoche	genre	title	textPath	label	n_sent	n_tok	n_tok_no_punct	n_adja	n_nn	n_acc	n_dat
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Die Glücksritter	Literatur-Eichendorff,-Joseph-von/tg598.txt	not defined	581	17119	14351	738	2848	261	657
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Die Zauberei im Herbste	Literatur-Eichendorff,-Joseph-von/tg582.txt	not defined	271	5761	4981	339	922	79	245
Eichendorff, Joseph von	Romantik	Erzählung	Erzählungen/Viel Lärmen um Nichts	Literatur-Eichendorff,-Joseph-von/tg595.txt	not defined	1152	25875	21608	1666	4133	384	979
Eichendorff, Joseph von	Romantik	Roman	Romane/Ahnung und Gegenwart	Literatur-Eichendorff,-Joseph-von/tg553.txt	Romantik_Kern	5336	113774	97049	6255	17227	1827	4333
Fischer, Caroline Auguste	not defined	Roman	Der Günstling	droro_e2/Fischer_Caroline_Auguste_Der_Guenstling.txt	Romantik_E2	1777	20817	16606	721	2512	206	517
Fischer, Caroline Auguste	not defined	Roman	Die Honigmonathe	droro_e2/Fischer_Caroline_Auguste_Die_Honigmonathe.txt	Romantik_E2	3779	41744	34196	1498	4998	451	867
Fischer, Caroline Auguste	not defined	Roman	Gustavs Verirrungen	droro_e2/Fischer_Caroline_Auguste_Gustavs_Verirrungen.txt	Romantik_E2	2010	25092	19951	933	2899	275	602
Fischer, Caroline Auguste	not defined	Roman	Margarethe	droro_e2/Fischer_Caroline_Auguste_Margarethe.txt	Romantik_E2	3188	46276	37974	1385	5271	435	1009
Fischer, Caroline Auguste	not defined	Roman	Vierzehn Tage in Paris	droro_e2/Fischer_Caroline_Auguste_Vierzehn_Tage_in_Paris.txt	Romantik_E2	1279	17079	13533	648	2177	196	374
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Ellernklipp	Literatur-Fontane,-Theodor/tg725.txt	not defined	2701	46320	38586	1238	5736	532	1107
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Grete Minde	Literatur-Fontane,-Theodor/tg704.txt	not defined	2563	39669	32528	1185	4870	455	986
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Mathilde Möhring	Literatur-Fontane,-Theodor/tg787.txt	not defined	2451	40262	32817	1054	4724	372	765
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Schach von Wuthenow	Literatur-Fontane,-Theodor/tg744.txt	not defined	2854	50326	41702	1930	7155	545	1330
Fontane, Theodor	Realismus	Erzählung	Erzählungen/Unterm Birnbaum	Literatur-Fontane,-Theodor/tg766.txt	not defined	2618	40207	32646	1183	5225	399	993
Fontane, Theodor	Realismus	prose	Romane/Cécile	Literatur-Fontane,-Theodor/tg430.txt	not defined	3868	67394	55324	2549	9515	669	1785
Fontane, Theodor	Realismus	prose	Romane/Der Stechlin	Literatur-Fontane,-Theodor/tg647.txt	not defined	9908	153590	124881	5024	18924	1394	3229
Fontane, Theodor	Realismus	prose	Romane/Die Poggenpuhls	Literatur-Fontane,-Theodor/tg631.txt	not defined	2356	39052	31730	1281	4801	310	798
Fontane, Theodor	Realismus	prose	Romane/Effi Briest	Literatur-Fontane,-Theodor/tg594.txt	not defined	6961	116986	95279	3625	13637	981	2574
Fontane, Theodor	Realismus	prose	Romane/Frau Jenny Treibel	Literatur-Fontane,-Theodor/tg577.txt	not defined	3758	72188	59242	2590	9087	619	1632
Fontane, Theodor	Realismus	prose	Romane/Graf Petöfy	Literatur-Fontane,-Theodor/tg394.txt	not defined	3884	71301	59377	2390	9618	749	1915
Fontane, Theodor	Realismus	prose	Romane/Irrungen, Wirrungen	Literatur-Fontane,-Theodor/tg460.txt	not defined	3881	63180	51495	2053	7688	609	1345
Fontane, Theodor	Realismus	prose	Romane/L'Adultera	Literatur-Fontane,-Theodor/tg371.txt	not defined	3315	53248	43915	1975	6619	532	1169
Fontane, Theodor	Realismus	prose	Romane/Quitt	Literatur-Fontane,-Theodor/tg504.txt	not defined	4510	95845	80088	3157	13182	1047	2593
Fontane, Theodor	Realismus	prose	Romane/Stine	Literatur-Fontane,-Theodor/tg487.txt	not defined	2083	36042	29634	1238	4525	351	846
Fontane, Theodor	Realismus	prose	Romane/Unwiederbringlich	Literatur-Fontane,-Theodor/tg542.txt	not defined	4560	97116	81146	3451	12774	959	2408
Fontane, Theodor	Realismus	prose	Romane/Vor dem Sturm	Literatur-Fontane,-Theodor/tg284.txt	not defined	15770	269000	222814	11439	41138	3030	7584
Fouqué, Caroline de la Motte	not defined	Roman	Der Spanier und der Freiwillige in Paris	droro_e1/Fouque_Caroline_de_la_Motte_Der_Spanier.txt	Romantik_E1	1904	40248	34423	2204	5965	550	1225
