"aufgeschoßnen"	"aufgeschoßenen"
"ahnete"	"ahnte"
"lasset"	"lasst"
"ward"	"wurde"
"erfahrner"	"erfahrener"
"andrer"	"anderer"
"weils"	"weil_es"
"lasset"	"lasst"
"wars"	"war_es"
"heitre"	"heitere"
"andern"	"anderen"
"löseten"	"lösten"
"eilf"	"elf"
"andern"	"anderen"
"be"	"bei"
"finstern"	"finsteren"
"waret"	"wart"
"Lasset"	"Lasst"
"lasset"	"lasst"
"waret"	"wart"
"willen"	"Willen"
"saget"	"sagt"
"eignes"	"eigenes"
"Haufe"	"Haufen"
"unsern"	"unseren"
"ward"	"wurde"
"andern"	"anderen"
"ward"	"wurde"
"Unsern"	"Unseren"
"andern"	"anderen"
"andern"	"anderen"
"unsern"	"unseren"
"unsern"	"unseren"
"Thomaskirche"	"Domaskirche"
"gestorbner"	"gestorbener"
"Johannens"	"Johannes"
"andern"	"anderen"
"wärts"	"Werts"
"lasset"	"lasst"
"Johannens"	"Johannes"
"gefrornen"	"gefrorenen"
"erhabne"	"erhabene"
"goldnen"	"goldenen"
"elfigen"	"Elfchen"
"Hirt"	"Hirte"
"Thomaskirche"	"Domaskirche"
2024-06-07 22:33:11 - Log message for  ../corpus/Literatur-Raabe,-Wilhelm/tg256.conllu_0
"Oronoco"	"Orinoco"
"unserm"	"unserem"
"Auerberge"	"Aueberge"
"Sammeteinband"	"Samteinband"
"Wodans"	"Wotans"
"Siebenzehnhunderteinundsechzig"	"Siebzehnhunderteinundsechzig"
"Auerberge"	"Aueberge"
"Eichelnsuche"	"Eichelsuche"
"Cistercienserkloster"	"Zisterzienserkloster"
"Altenkamp"	"Altenkamm"
"andern"	"anderen"
"Wesersandstein"	"Wässersandstein"
"Cistercienser"	"Zisterzienser"
"Auerberge"	"Aueberge"
"Weserkloster"	"Wässerkloster"
"getreuern"	"getreueren"
"verstand's"	"Verstands"
"dere"	"derer"
"freiete"	"freite"
"Jungfrawen"	"Jungfrauen"
"Margarethen"	"Margarethe"
"zeugete"	"zeugte"
"zeugete"	"zeugte"
"Methusalah"	"Methusalem"
"zeugete"	"zeugte"
"zeugete"	"zeugte"
"Cisterne"	"Zisterne"
"male"	"Male"
"hinauskrähete"	"hinauskrähte"
"wackern"	"wackeren"
"Cistercienser"	"Zisterzienser"
"Auerberge"	"Aueberge"
"konveniret"	"konveniert"
"Cisteaux"	"Cîteaux"
"Auerberge"	"Aueberge"
"wackern"	"wackeren"
"Cistercienser"	"Zisterzienser"
"mal"	"Mal"
"Poete"	"Poet"
"war's"	"war_es"
"Cistercienser"	"Zisterzienser"
"Auerberge"	"Aueberge"
"Präceptorentums"	"Präzeptorentums"
"Sem"	"Sein"
"Hinterhaltiges"	"Hinterhältiges"
"Sich-Anhaltendes"	"Siech-anhaltendes"
"Gezerr"	"Gezerre"
"Trocknis"	"Trockne"
"Tilithi-Gau"	"Tilithigau"
"teuere"	"Teuere"
"Siebenzehnhunderteinundsechzig"	"Siebzehnhunderteinundsechzig"
"gesäet"	"gesät"
"Er's"	"Er_es"
"wird's"	"wird_es"
"itzo"	"jetzt"
"Orleans"	"Orléans"
"stehet"	"steht"
"Rab"	"Herab"
"unwirrscher"	"unwirscher"
"Pläsir"	"Pläsier"
"kann's"	"kann_es"
"Pique"	"Pike"
"Nu"	"Nun"
"anjetzo"	"jetzt"
"Dero"	"Deren"
"Gehäge"	"Gehege"
"wanne"	"wann"
"wanne"	"wann"
"wohlgeatzet"	"wohlgeatzt"
"wird's"	"wird_es"
"stehet"	"steht"
"Schwangern"	"Schwangeren"
"Wodans"	"Wotans"
"Wodans"	"Wotans"
"Schwed"	"Schwede"
"Cistercienser"	"Zisterzienser"
"jetzo"	"jetzt"
"Er's"	"Er_es"
"kam's"	"kam_es"
"gemalet"	"gemalt"
"grauete"	"graute"
"wehrenden"	"währenden"
"speiset"	"speist"
"Eh"	"Ehe"
"Malör"	"Maler"
"Cistercienser"	"Zisterzienser"
"kurhannöverschen"	"kurhannoverschen"
"Mildigkeit"	"Milde"
"gradaus"	"geradeaus"
"wallisischen"	"walisischen"
"Bose"	"Böse"
"Westphalen"	"Westfalen"
"Tundern"	"Tundren"
"Westphalen"	"Westfalen"
"Kanonikus"	"Kanoniker"
"Polybio"	"Polybios"
"nunmehro"	"nunmehr"
"mal"	"Mal"
"soll's"	"soll_es"
"andern"	"anderen"
"Sackermenter"	"Sackermeter"
"unsern"	"unseren"
"drum"	"darum"
"Wodans"	"Wotans"
"Dunkeln"	"Dunklen"
"grade"	"gerade"
"Kaputze"	"Kapuze"
"Dunkeln"	"Dunklen"
"nebenanliegende"	"nebenan_liegende"
"Cisterciensers"	"Zisterziensers"
"Schaff"	"Schaffe"
"mag's"	"mag_es"
"Nachtkamisöler"	"Nachtkamisole"
"betitulieren"	"Bettitulieren"
"Zettul"	"Zettel"
"Börten"	"Borten"
"Allotriis"	"Allotria"
"kayserlichen"	"kaiserlichen"
"Armaden"	"Armadas"
"Molterbach"	"Malterbach"
"ohnweit"	"unweit"
"bessern"	"besseren"
"Tobacksdose"	"Tabakdose"
"däucht"	"deucht"
"teutschen"	"deutschen"
"Gewaffen"	"Waffen"
"dedicieret"	"dedizieret"
"Statua"	"Statue"
"päbstlicher"	"päpstlicher"
"Weibermärlein"	"Weibermährlein"
"tun's"	"Tuns"
"Jöchers"	"Jochers"
"Engelländers"	"Engländers"
"gantz"	"ganz"
"gelebet"	"gelebt"
"celebrierter"	"zelebrierter"
